Kategori;Tindak Lanjut/Arahan;Rekomendasi ;PIC;Status ;Rapat ;Tanggal Rapat;Due Date;Durasi-Tgl Rapat;Durasi-DueDate;Email Due Reminder;Keterangan ; ; ; ; ; ; ; ; ; ; ; ; ; 
;"Terkait Laporan Progres Transjabodetabek:
1. Masukkan surat-surat BPTJ sebagai referensi. 
2. Pisahkan kebutuhan operasional dan prasarana untuk hub sentral cawang
3. Highlight di body surat mengenai animo masyarakat, rencana yang sudah dilakukan dan plan selanjutnya, serta dukungan yang diperlukan baik anggaran, perizinan, dan tambahan unit";;Divisi Sekretaris Perusahaan dan Hubungan Masyarakat;Closed;BOD;18-Jun-25;20-Jun-25;335;333;;;;;;;;;;;;;;;
;Segera susun SK mengenai ikrar Transjakarta dengan lampirannya berupa pedoman;;Divisi Sumber Daya Manusia;Closed;BOD;18-Jun-25;25-Jun-25;335;328;;;;;;;;;;;;;;;
;Segera susun SK mengenai ikrar Transjakarta dengan lampirannya berupa pedoman;;Divisi Perencanaan Perusahaan dan Manajemen Risiko;Closed;BOD;18-Jun-25;25-Jun-25;335;328;;;;;;;;;;;;;;;
;"Jakarta Sky Fun Run:
a. Fokus utamanya bukan target peserta yang 3.000 tetapi fokuskan ke campaignnya. Buatkan rencana campaign yang besar dan menarik peserta 
b. Upayakan agar biaya JFSR 2025 tidak melebihi anggaran yang sudah disediakan (jangan ditambah) ";;Divisi Pemasaran;Closed;BOD;18-Jun-25;25-Jun-25;335;328;;;;;;;;;;;;;;;
;Sebagai tindak lanjut TJ Radio, segera lakukan piloting melalui kerja sama dengan MARI untuk test audio di bus;;Divisi Pemasaran;Closed;BOD;18-Jun-25;09-Jul-25;335;314;;;;;;;;;;;;;;;
;"Naskah PSO:
a. Perlu dilakukan kajian ulang mengenai dasar penetapan target accident rate 0,41.
b. Penyelesaian temuan BPK tetap menjadi tanggung jawab Dishub, mengingat status Transjakarta saat itu masih BLU, namun Transjakarta akan tetap membantu menyelesaikannya
c. Setuju dengan skenario 4,2 triliun dengan tambahan 6 rute Transjabodetabek tetapi tambahkan catatan bahwa biaya akan habis di bulan November 2025
d. Tambahkan catatan bahwa dishub akan melakukan pengajuan tambahan subsidi untuk memastikan Transjabodetabek akan cukup sampai akhir tahun dengan catatan bahwa anggaran saat ini hanya cukup sampai November 2025
e. Sebelum penandatanganan naskah PSO 2025, perlu ada tambahan BA kesepakatan untuk penjelasan lebih detail mengenai catatan-catatannya. Siapkan suratnya dan naskah PSO 2025 harus sudah ditandatangani pada akhir bulan Juni 2025";;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOD;18-Jun-25;27-Jun-25;335;326;;;;;;;;;;;;;;;
;"Naskah PSO:
Terkait KPI Integrasi Sistem Pembayaran dan Integrasi Tarif Antar Moda, Dishub menegaskan bahwa fokus utama adalah terwujudnya tarif integrasi, tanpa mempersoalkan kepemilikan atau pengelolaan aset, baik oleh Transjakarta maupun JLI. Sebagai tindak lanjut, Direktur Sistem Teknologi Informasi akan segera melakukan koordinasi dan diskusi dengan JLI sore ini (18 Juni)";;Divisi Sistem Teknologi dan Informasi;Closed;BOD;18-Jun-25;25-Jun-25;335;328;;;;;;;;;;;;;;;
;Lakukan eksplorasi di ERP/Integrasio agar yang memunculkan notifikasi berupa reminder jatuh tempo;;Divisi Sistem Teknologi dan Informasi;Closed;BOD;18-Jun-25;09-Jul-25;335;314;;;;;;;;;;;;;;;
;Lakukan eksplorasi di ERP/Integrasio agar yang memunculkan notifikasi berupa reminder jatuh tempo;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOD;18-Jun-25;09-Jul-25;335;314;;;;;;;;;;;;;;;
;Tuangkan proses keuangan yang sudah menggunakan sistem (ERP/Integrasio) ke dalam prosedur/SOP. Misalnya kontrak baru/adendum (operator), pendapatan NFB agar ada peraturan dan sanksinya;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOD;18-Jun-25;25-Jun-25;335;328;;teregistrasi 28 dari 37 SOP;;;;;;;;;;;;;
;Tuangkan proses keuangan yang sudah menggunakan sistem (ERP/Integrasio) ke dalam prosedur/SOP. Misalnya kontrak baru/adendum (operator), pendapatan NFB agar ada peraturan dan sanksinya;;"""Divisi Perencanaan Perusahaan, Manajemen Risiko, dan Mutu""";Closed;BOD;18-Jun-25;25-Jun-25;335;328;;;;;;;;;;;;;;;
;Lakukan sosialisasi ke unit kerja untuk memberikan pemahaman mengenai sistem aktual yang terbaru;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOD;18-Jun-25;25-Jun-25;335;328;;;;;;;;;;;;;;;
;"Inbreng atas Milik Aset Barang Daerah:
Kirim surat permintaan inbreng dan ajuan revisi KepGub 1006. Siapkan kajian sebagai lampiran permohonan revisinya dan tambahkan Rekomendasi BPK (yang berisikan 2 poin yaitu aset yang perlu di hapus dan usulan inbreng tahap 2)";;Divisi Umum dan Pengadaan;Closed;BOD;18-Jun-25;02-Jul-25;335;321;;;;;;;;;;;;;;;
;Selain lahan cawang, eksplor lagi lahan lain yang mau diajukan inbreng. Koordinasikan dengan Prasarana (Misal: Depo Kampung Rambutan);;Divisi Sumber Daya Manusia dan Umum;Closed;BOD;18-Jun-25;02-Jul-25;335;321;;;;;;;;;;;;;;;
;"Tren Kerusakan Armada di Jalur:
a. Perlu dilakukan pengecekan kilometer untuk seluruh bus yang beroperasi. Pastikan tidak ada kendaraan yang memiliki kilometer terlalu rendah (tidak maksimal) dibandingkan armada lainnya.
b. Overhaul harusnya ada penjadwalan jangan sampai ada keluhan/problem dulu baru diperiksa.  Periksa jadwalnya untuk menghindari kondisi di mana satu kendaraan mengalami overhaul hingga scrap, sementara kendaraan lain hanya menjalani overhaul ringan.
c. Biaya maintenance jangan sampai jadi tabungan, harus digunakan maksimal.
d. Lakukan analisis dan pemetaan ulang distribusi armada berbasis kilometer tempuh.
e. Perhatikan kembali kontrak operator yang baru untuk target zero breakdown dari 1,5 harusnya menjadi 0,5. ";;Divisi Keselamatan dan Pengawasan Operasional;Open;BOD;18-Jun-25;02-Jul-25;335;321;;;;;;;;;;;;;;;
;"TJ Pay:
a. Lakukan eksplorasi untuk biaya berlangganan
b. Peluncuran TJ Pay akan dilakukan pada 26 Juni 2025, tolong siapkan strategi komunikasinya
c. Terkait logo, gunakan logo TJ dengan tulisan TJ Pay karena desain dompet tidak disetujui";;Divisi Sistem Teknologi dan Informasi;Closed;BOD;18-Jun-25;20-Jun-25;335;333;;;;;;;;;;;;;;;
;"TJ Pay:
a. Lakukan eksplorasi untuk biaya berlangganan
b. Peluncuran TJ Pay akan dilakukan pada 26 Juni 2025, tolong siapkan strategi komunikasinya
c. Terkait logo, gunakan logo TJ dengan tulisan TJ Pay karena desain dompet tidak disetujui";;Divisi Pemasaran;Closed;BOD;18-Jun-25;20-Jun-25;335;333;;;;;;;;;;;;;;;
;Segera siapkan rencana sosialisasi program SDM, termasuk struktur skala upah, agar seluruh pegawai memahami kebijakan yang berlaku.;;Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Pastikan setiap tindakan terkait SDM, seperti mutasi atau rotasi pegawai, terdokumentasi sesuai prosedur, lengkap dan jelas.;Laporan keuangan sekarang dengan dibantu ERP maka closing laporannya sudah otomatis dan bisa selesai lebih awal sekitar tanggal 06, semoga laporan-laporan yang lain juga bisa lebih cepat sehingga penyelenggaraan rapat BOC BOD juga bisa lebih awal sekitar minggu ke-2 (Div Keuangan, STI);Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Percepat penyusunan Analisis Jabatan, Analisis Beban Kerja, dan Pola Karir, lalu laporkan progresnya secara berkala kepada manajemen.;;Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon segera lakukan perubahan rencana kerja berdasarkan RKAP 2025 sesuai program kerja Gubernur dan Wakil Gubernur;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon buffer biaya marketing hingga tahun 2025 karena beban sponsor agak tinggi;;Divisi Pemasaran;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon lakukan efisiensi sebagai mitigasi risiko naskah PSO yang belum ditandatangani;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon perhatikan pemeliharaan dan perawatan armada bus agar tidak mogok di jalan terutama rute jauh;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon edukasi pramusapa untuk memisahkan pelanggan apabila diperlukan tindakan represif tanpa harus menunggu keamanan;;Divisi Pelayanan;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon perdalam kajian perencanaan rute terutama untuk Transjabodetabek dengan memperhatikan aspek armada bus, penugasan, personil pramusapa guna menekan keluhan yang timbul dalam layanan nantinya;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon analisis penyebab kenaikan VoC;;Divisi Pelayanan;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon lakukan evaluasi atas kesesuaian waktu kedatangan kereta dan keberangkatan bus agar pelanggan tidak menunggu terlalu lama  ;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon citrakan bahwa keterlambatan pencairan PSO dapat memberikan masalah dan lakukan aktivasi pinjaman dana ke bank;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon lakukan kajian mitigasi dampak perang Israel yang berpotensi meninggikan harga BBM;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon pertimbangkan untuk memberikan peran marketing kepada Pramusapa dan berikan SP kepada korlap yang kurang bisa kerja;;Divisi Pelayanan;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon lakukan perampingan dan penguatan jabatan fungsional baik di depo maupun halte;;Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon perhatikan dengan cermat karyawan yang sakit secara berkepanjangan ;;Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon menyediakan fasilitas sekretariat bagi Serikat Pekerja sebagaimana dimaksud dalam Pasal 94 ayat (1) PKB;;Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon pertimbangkan penggantian rute 2Q 6Q 7B diganti dengan bus sedang  agar manuver lebih lincah;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon cari alternatif titik pemberhentian rute BSD – Jelambar karena dinilai Dishub kurang berkeselamatan;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon perhatikan usulan rute 4B yang parkir di UI agar lebih baik diperpanjang ke Terminal Depok supaya tidak menganggu lalu lintas;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon perhatikan usulan rute 9H berhenti di Terminal pasar minggu dan bukan di depan Universitas Pancasila;;Divisi Operasional Bus;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon TJ Academy segera melakukan kerja sama dengan pemerintah dan/atau swasta dalam konteks pendanaan dan fasilitas pelatihan.;;Unit Bisnis TJ Academy;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon logo LPK Transjakarta Akademi dapat ditempel disebelah logo Transjakarta pada bangunan gedung valey;;Unit Bisnis TJ Academy;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;Mohon lakukan evaluasi mendalam terhadap 25 karyawan yang sakit berkepanjangan sesuai PKB pasal 43 tentang upah dan pasal 79 tentang pemutusan hubungan kerja;;Divisi Sumber Daya Manusia;Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;"Mohon koordinasikan agar dalam keputusan RUPSLB RKAP-2025 mendatang dapat mencantumkan keputusan berikut :
Pemegang Saham menyetujui segala tindakan Direksi yang diambil berdasarkan Intruksi Gubernur nomor 1 tahun 2025 terkait program 100 hari kerja Gubernur
";;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;20-Jun-25;;333;46161;;;;;;;;;;;;;;;
;"Progres Penandatanganan Naskah PSO:
Buat tabel summary operasional agar menggambarkan komposisi dan perubahan yang terjadi: kolom berisi kilometer, pelanggan, rupiah biaya, jumlah bus (ada kolom RKA dan naskah) dan baris berisi cluster layanan-layanan (mikro, transjabo reguler, penugasan, dll) ";;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOD;25-Jun-25;03-Jul-25;328;320;;;;;;;;;;;;;;;
;"Progres Penandatanganan Naskah PSO:
Buat tabel summary operasional agar menggambarkan komposisi dan perubahan yang terjadi: kolom berisi kilometer, pelanggan, rupiah biaya, jumlah bus (ada kolom RKA dan naskah) dan baris berisi cluster layanan-layanan (mikro, transjabo reguler, penugasan, dll) ";;Divisi Perencanaan Perusahaan dan Manajemen Risiko;Closed;BOD;25-Jun-25;03-Jul-25;328;320;;;;;;;;;;;;;;;
;"Progres Penandatanganan Naskah PSO:
Buat tabel summary operasional agar menggambarkan komposisi dan perubahan yang terjadi: kolom berisi kilometer, pelanggan, rupiah biaya, jumlah bus (ada kolom RKA dan naskah) dan baris berisi cluster layanan-layanan (mikro, transjabo reguler, penugasan, dll) ";;Divisi Integrasi Angkutan;Closed;BOD;25-Jun-25;03-Jul-25;328;320;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Tim Legal periksa kembali kesesuaian perizinan TJ Pay dan pastikan hingga tuntas";;Divisi Legal dan Kepatuhan;Closed;BOD;25-Jun-25;26-Jun-25;328;327;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Siapkan surat kepada Bank Jakarta terkait permintaan untuk segera memenuhi kualifikasi agar dapat segera bergabung dengan TJ Pay";;Divisi Pemasaran;Closed;BOD;25-Jun-25;26-Jun-25;328;327;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Siapkan surat kepada Bank Jakarta terkait permintaan untuk segera memenuhi kualifikasi agar dapat segera bergabung dengan TJ Pay";;Divisi Sistem Teknologi dan Informasi;Closed;BOD;25-Jun-25;26-Jun-25;328;327;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Siapkan surat kepada Bank Jakarta terkait permintaan untuk segera memenuhi kualifikasi agar dapat segera bergabung dengan TJ Pay";;Divisi Penjualan;Closed;BOD;25-Jun-25;26-Jun-25;328;327;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Siapkan surat kepada Bank Jakarta terkait permintaan untuk segera memenuhi kualifikasi agar dapat segera bergabung dengan TJ Pay";;Divisi Pelayanan;Closed;BOD;25-Jun-25;26-Jun-25;328;327;;"Soft launchiing sudah dilakukan. Contact center aktif menjawab dan menjelaskan pada pelanggan.
Divisi Penjualan yang akan melakukan approach dengan mitra (bank-bank) untuk menjadi rekanan TJ dalam aplikasi.";;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Siapkan surat kepada Bank Jakarta terkait permintaan untuk segera memenuhi kualifikasi agar dapat segera bergabung dengan TJ Pay";;Divisi Pemasaran;Closed;BOD;25-Jun-25;06-Jul-25;328;317;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Tanggal 26 Juni 2025 akan soft launching TJ Pay untuk uji coba terlebih dahulu, dan resmi launching pada 6 Juli 2025 bertepatan dengan Jakarta Sky Fun Run (JSFR)";;Divisi Sistem Teknologi dan Informasi;Closed;BOD;25-Jun-25;06-Jul-25;328;317;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Tanggal 26 Juni 2025 akan soft launching TJ Pay untuk uji coba terlebih dahulu, dan resmi launching pada 6 Juli 2025 bertepatan dengan Jakarta Sky Fun Run (JSFR)";;Divisi Penjualan;Closed;BOD;25-Jun-25;06-Jul-25;328;317;;;;;;;;;;;;;;;
;"Update Persiapan Launching TJ Pay:
Tanggal 26 Juni 2025 akan soft launching TJ Pay untuk uji coba terlebih dahulu, dan resmi launching pada 6 Juli 2025 bertepatan dengan Jakarta Sky Fun Run (JSFR)";;Divisi Sistem Teknologi dan Informasi;Closed;BOD;25-Jun-25;06-Jul-25;328;317;;"Ujicoba sudah mulai dilakukan. 
Event launching akan disiapkan oleh Divisi Pemasaran.";;;;;;;;;;;;;
;"Aplikasi Siaga:
Segera siapkan dokumen dan penerapan Aplikasi Siaga untuk memperkuat sistem pelaporan K3L dan memastikan pemanfaatan sistem yang terintegrasi dan efisien";;Divisi Keselamatan dan Keamanan;Closed;BOD;25-Jun-25;02-Jul-25;328;321;;;;;;;;;;;;;;;
;"Integrasi Tim Sustainability dalam Struktur Organisasi:
a. Berdasarkan Surat Tugas 790/TUG-DK/PT.TJ/XII/2024, masa tugas Tim Sustainability habis pada 10 Juni 2025 sehingga dimohon segera untuk membuat dan melaporkan pertanggungjawaban pelaksaan tugas kepada Direksi
b. Dukung integrasi fungsi sustainability secara strategis ke dalam struktur organisasi guna memperkuat tata kelola perusahaan, mendukung pencapaian tujuan jangka panjang, serta memastikan praktik bisnis sejalan dengan prinsip-prinsip ESG (Environmental, Social, and Governance). 
c. Struktur tim sustainability yang baru harus sudah formal terbentuk dan dituang dalam SK Direksi maksimal 4 Juli 2025, segera koordinasikan dengan tim SDM";;Divisi Perencanaan Perusahaan dan Manajemen Risiko;Closed;BOD;25-Jun-25;04-Jul-25;328;319;;;;;;;;;;;;;;;
;"Integrasi Tim Sustainability dalam Struktur Organisasi:
Pada Agustus 2025, tim baru diharapkan sudah selesai membentuk strategi sustainability";;Divisi Perencanaan Perusahaan dan Manajemen Risiko;Closed;BOD;25-Jun-25;15-Aug-25;328;277;;;;;;;;;;;;;;;
;Mohon sampaikan sejauh mana komunikasi mengenai program SDM (termasuk struktur skala upah) untuk penguatan struktur organisasi di lapangan baik di depo dan juga halte, selain meningkatkan pemanfaatan dan fungsi juga pengembangan pola karir selanjutnya ;;Divisi Sumber Daya Manusia;Closed;BOC;27-Jun-25;10-Jul-25;326;313;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
Terkait agenda audiensi, tolong carikan jadwal ke Biro KDH untuk audiensi dengan mengajak Gubernur";;Divisi Sekretaris Perusahaan dan Hubungan Masyarakat;Closed;BOD;02-Jul-25;09-Jul-25;321;314;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
a) Agenda audiensi: menyampaikan ke Kementerian PU bahwa sedang dijadwalkan audiensi dengan Gubernur dan Kementerian PU
b) Timeline: 
     - Pastikan progres saat ini dan kedepannya align dengan timeline yang disampaikan saat Rapimtas Gubernur
     - Sisipkan kegiatan public expose melalui FGD untuk mendapatkan feedback. Lakukan stakeholders mapping terhadap pihak terkait dan pihak yang berpotensi kontra terhadap rencana 
     - Lakukan checkpoint dengan melaporkan milestone secara berkala melalui surat/paparan (contoh: desain masterplan, dll.)
c) Draft SPMK harus mulai disusun oleh unit teknis paralel proses pengadaan
d) Pemanfaatan lahan: kaji dan perhatikan pemanfaatan lahan area non BMN (area UKI/trotoar UKI, area halte, dll.) agar bisa mulai diurus. Siapkan dan kaji impact analysis";;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOD;02-Jul-25;09-Jul-25;321;314;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
a) Timeline: Sisipkan kegiatan public expose melalui FGD untuk mendapatkan feedback. Lakukan stakeholders mapping terhadap pihak terkait dan pihak yang berpotensi kontra terhadap rencana 
b) Pengadaan konsultan Konsep Transjabodetabek: Dengan durasi pekerjaan 3 bulan, mintakan interim report di tengah pelaksanaan.";;Divisi Integrasi Angkutan;Closed;BOD;02-Jul-25;09-Jul-25;321;314;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
a) Timeline: Sisipkan kegiatan public expose melalui FGD untuk mendapatkan feedback. Lakukan stakeholders mapping terhadap pihak terkait dan pihak yang berpotensi kontra terhadap rencana 
b) Pengadaan konsultan Konsep Transjabodetabek: Dengan durasi pekerjaan 3 bulan, mintakan interim report di tengah pelaksanaan.";;Divisi Perencanaan Perusahaan dan Manajemen Risiko;Closed;BOD;02-Jul-25;31-Jul-25;321;292;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
a) Timeline: Sisipkan kegiatan public expose melalui FGD untuk mendapatkan feedback. Lakukan stakeholders mapping terhadap pihak terkait dan pihak yang berpotensi kontra terhadap rencana 
b) Timeline pengadaan kajian pengembangan investasi agar menjadi perhatian khusus. Dokumen pengadaan masuk ke pengadaan pada W1 Juli";;Divisi Pemasaran;Closed;BOD;02-Jul-25;09-Jul-25;321;314;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
Pengadaan [timeline pengadaan menjadi perhatian khusus]: 
a) Konsultan Desain: Target penetapan penyedia dimajukan jadi 07 Juli 2025 
b) Konsultan Amdal-Andalalin: Target penetapan penyedia dimajukan jadi 09 Juli 2025 
c) Konsultan Kajian Investasi: Target penetapan penyedia pada W4 Juli 2025 ";;Divisi Umum dan Pengadaan;Closed;BOD;02-Jul-25;09-Jul-25;321;314;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
Lakukan koordinasi dengan unit teknis dan segera persiapkan berkas/dokumen kontrak untuk Konsultan Desain Perencanaan,  Konsultan Amdal & Andalalin dan Konsultan Kajian Investasi dari sekarang sehingga nanti bisa segera langsung dilakukan penandatanganan";;Divisi Legal dan Kepatuhan;Closed;BOD;02-Jul-25;31-Jul-25;321;292;;;;;;;;;;;;;;;
;"Update Progres Pengembangan Layanan Transjabodetabek
Segera lakukan analisis aspek operasional salah satunya agar tidak terjadi penumpukan antrian bus. Koordinasikan dengan tim Prasarana apabila membutuhkan modifikasi alur sehingga masuk dalam perencanaan desain sejak awal";;Divisi Operasional Bus;Closed;BOD;02-Jul-25;09-Jul-25;321;314;;;;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan Rute T21 agar dilakukan sesuai prosedur yakni diumumkan 2 minggu dari sekarang. Ditargetkan maksimal pada 18 Juli 2025 merupakan layanan terakhir dan ditutup";;Divisi Pemasaran;Closed;BOD;02-Jul-25;18-Jul-25;321;305;;;;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan Rute T21 agar dilakukan sesuai prosedur yakni diumumkan 2 minggu dari sekarang. Ditargetkan maksimal pada 18 Juli 2025 merupakan layanan terakhir dan ditutup. ";;Divisi Swakelola;Closed;BOD;02-Jul-25;18-Jul-25;321;305;;;;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan Rute T21 agar dilakukan sesuai prosedur yakni diumumkan 2 minggu dari sekarang. Ditargetkan maksimal pada 18 Juli 2025 merupakan layanan terakhir dan ditutup";;Divisi Pemasaran;Closed;BOD;02-Jul-25;18-Jul-25;321;305;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Pelayanan akan hadir jika dibutuhkan untuk menjawab pertanyaan2 pelanggan saja.";;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan Rute T21 agar dilakukan sesuai prosedur yakni diumumkan 2 minggu dari sekarang. Ditargetkan maksimal pada 18 Juli 2025 merupakan layanan terakhir dan ditutup";;Divisi Pelayanan;Closed;BOD;02-Jul-25;18-Jul-25;321;305;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Pelayanan akan hadir jika dibutuhkan untuk menjawab pertanyaan2 pelanggan saja.";;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Perubahan rute P21 (PGV - Cibubur) ditargetkan efektif berubah pada 07 Juli 2025
";;Divisi Pemasaran;Closed;BOD;02-Jul-25;07-Jul-25;321;316;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Pelayanan bahkan diminta untuk tidak menginformasikan apapun pada sosial media.";;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Perubahan rute P21 (PGV - Cibubur) ditargetkan efektif berubah pada 07 Juli 2025
";;Divisi Swakelola;Closed;BOD;02-Jul-25;07-Jul-25;321;316;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Pelayanan bahkan diminta untuk tidak menginformasikan apapun pada sosial media.";;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Perubahan rute P21 (PGV - Cibubur) ditargetkan efektif berubah pada 07 Juli 2025
";;Divisi Swakelola;Closed;BOD;02-Jul-25;07-Jul-25;321;316;;;;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Perubahan rute P21 (PGV - Cibubur) ditargetkan efektif berubah pada 07 Juli 2025
";;Divisi Pemasaran;Closed;BOD;02-Jul-25;07-Jul-25;321;316;;;;;;;;;;;;;;;
;"Strategi Optimalisasi Pengembangan Royaltrans
Penutupan rute S13 Summacrecon Serpong - Tomang dilakukan sesuai prosedur berlaku yakni dengan minimal 2 minggu pemberitahuan ke pelanggan, dengan target efektif tutup pada 01 Agustus 2025";;Divisi Pelayanan;Closed;BOD;02-Jul-25;01-Aug-25;321;291;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Informasi pada sosial media akan dilakukan oleh Markom (instagram PT) yang akan di collabs dengan IG Infotije.";;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan rute S13 Summacrecon Serpong - Tomang dilakukan sesuai prosedur berlaku yakni dengan minimal 2 minggu pemberitahuan ke pelanggan, dengan target efektif tutup pada 01 Agustus 2025";;Divisi Pemasaran;Closed;BOD;02-Jul-25;01-Aug-25;321;291;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Informasi pada sosial media akan dilakukan oleh Markom (instagram PT) yang akan di collabs dengan IG Infotije.";;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan rute S13 Summacrecon Serpong - Tomang dilakukan sesuai prosedur berlaku yakni dengan minimal 2 minggu pemberitahuan ke pelanggan, dengan target efektif tutup pada 01 Agustus 2025";;Divisi Swakelola;Closed;BOD;02-Jul-25;01-Aug-25;321;291;;;;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penutupan rute S13 Summacrecon Serpong - Tomang dilakukan sesuai prosedur berlaku yakni dengan minimal 2 minggu pemberitahuan ke pelanggan, dengan target efektif tutup pada 01 Agustus 2025";;Divisi Pemasaran;Closed;BOD;02-Jul-25;01-Aug-25;321;291;;;;;;;;;;;;;;;
;" Strategi Optimalisasi Pengembangan Royaltrans
Penggabungan rute D23 Cinere - Bundaran Senayan dan D31 Cinere - Kuningan menjadi Cinere - Bundaran Senayan ditargetkan efektif pada 21 Juli 2025";;Divisi Pemasaran;Closed;BOD;02-Jul-25;21-Jul-25;321;302;;"Project leader Royaltrans adalah Divisi Pemasaran. 
Informasi pada sosial media akan dilakukan oleh Markom (instagram PT) yang akan di collabs dengan IG Infotije.";;;;;;;;;;;;;
